id,title,thumbnail,price,brand,gtin,brand_std,gtin_std,title_std,title_std_lemma,price_std,cluster
MCO1312345739,Cerca 75km - Ganado - Impulsor,http://http2.mlstatic.com/D_926804-MCO70350738436_072023-I.jpg,165000,CERCAS DEL ORIENTE,"000223213232,000055393829",cercas del oriente,"['000055393829', '000223213232']",cerca 75km ganado impulsor,cerca 75 km ganado impulsor,165000.0,81
MCO601595467,Planta Cerca Electrica Para Ganado 50km M. Jr,http://http2.mlstatic.com/D_802783-MCO74899505438_032024-I.jpg,140000,JR CERCA ELECTRICA,,jr cerca eléctrica,[],planta cerca electrica ganado 50km m jr,plantar cerca electrico ganado 50 km m jr,140000.0,81
MCO611865640,Limpiador  Electrónico -removedor De Polvo - Aire Comprimido,http://http2.mlstatic.com/D_995727-MCO73203873773_122023-I.jpg,21500,ABRO DUSTER,,abro duster,[],limpiador electrónico removedor polvo aire comprimido,limpiador electrónico removedor polvo aire comprimido,21500.0,81
MCO658922476,"Planta Cerca Eléctrica Solar 100km, Incluye Panel Y Bateria.",http://http2.mlstatic.com/D_844953-MCO45203598828_032021-I.jpg,690000,UNIVERSAL ELECTRÓNICS,,universal electronics,[],planta cerca eléctrica solar 100km incluye panel bateria,plantar cerca eléctrico solar 100 km incluir panel baterio,690000.0,81
MCO826585974,Tensor Metálico Para Cerca Eléctrica Para 500 Metros,http://http2.mlstatic.com/D_797256-MCO71264690908_082023-I.jpg,6600,Luxury,7707314156920,luxury,['7707314156920'],tensor metálico cerca eléctrica 500 metros,tensor metálico cerca eléctrico 500 metro,6600.0,81
MCO565573283,Termohigrometro Htc-2 Con Certificado De Calibración,http://http2.mlstatic.com/D_943379-MCO47104718536_082021-I.jpg,115920,Made in China,,made in china,[],termohigrometro htc 2 certificado calibración,termohigrometro htc 2 certificado calibración,115920.0,81
MCO943288439,Temporizador Timer Digital Mini Modelo Tue-11 ,http://http2.mlstatic.com/D_767336-MCO75488788964_042024-I.jpg,38600,Excelite,,excelite,[],temporizador timer digital mini modelo tue 11,temporizador timer digital mini modelo tue 11,38600.0,81
MCO453174188,Aislador Para Cerca Eléctrica Tipo Pivote-puntilla X100 Unds,http://http2.mlstatic.com/D_837643-MCO78824377066_092024-O.jpg,19000,Luxury,,luxury,[],aislador cerca eléctrica tipo pivote puntilla x100 unds,aislador cerca eléctrico tipo pivote puntilla x100 unds,19000.0,81
MCO544083774,Aislador Para Cerca Eléctrica Poste Varilla Uv X 50 Pcs,http://http2.mlstatic.com/D_900033-MCO78708527225_082024-O.jpg,41000,Luxury,,luxury,[],aislador cerca eléctrica poste varilla uv x 50 pcs,aislador cerca eléctrico poste varilla uv x 50 pcs,41000.0,81
MCO546159155,Aislador Para Cerca Eléctrica Pivote - Puntilla X300unidades,http://http2.mlstatic.com/D_811118-MCO78824011908_092024-I.jpg,50400,Luxury,7707314156920,luxury,['7707314156920'],aislador cerca eléctrica pivote puntilla x300unidades,aislador cerca eléctrico pivote puntilla x300unidades,50400.0,4
MCO513048872,Desviador De Rayos Para Cerca Eléctrica 2 Electrodos X 1 Pcs,http://http2.mlstatic.com/D_701560-MCO78999778069_092024-O.jpg,23500,Luxury,7707314156920,luxury,['7707314156920'],desviador rayos cerca eléctrica 2 electrodos x 1 pcs,desviador rayo cerca eléctrico 2 electrodo x 1 pcs,23500.0,81
MCO550644825,Hilo O Cordón Electro Plástico Cerca Eléctrica 200m 3mm,http://http2.mlstatic.com/D_795571-MCO78848848067_082024-O.jpg,68000,Cauchope,7707314156920,cauchope,['7707314156920'],hilo cordón electro plástico cerca eléctrica 200m 3mm,helar cordón electro plástico cerca eléctrico 200 m 3 mm,68000.0,81
MCO538707255,Batería Lipo 3.7v 1s 1000mah Nueva Drone Proyectos Electroni,http://http2.mlstatic.com/D_877411-MCO47231784957_082021-I.jpg,36550,,,,[],batería lipo 3 7v 1s 1000mah nueva drone proyectos electroni,batería lipo 3 7v 1s 1000mah nuevo dronir proyecto electroni,36550.0,81
MCO607292302,Datáfono Bold Neo Portátil - Recibe Todas Las Tarjetas +link,http://http2.mlstatic.com/D_937822-MCO74921324798_032024-I.jpg,46610,Bold,,bold,[],datáfono bold neo portátil recibe todas tarjetas link,datáfonir bold neo portátil recibir todo tarjeta link,46610.0,81
MCO1243318415,Hilo O Cordón Electro Plástico Cerca Eléctrica 400m 3mm,http://http2.mlstatic.com/D_727103-MCO72650119358_112023-I.jpg,101650,CERCAS ELECTRICAS DORADA,,cercas electricas dorada,[],hilo cordón electro plástico cerca eléctrica 400m 3mm,helar cordón electro plástico cerca eléctrico 400 m 3 mm,101650.0,81
MCO537763435,Puntas Para Sonda Pesca Electrica Repuesto,http://http2.mlstatic.com/D_806538-MCO45356426043_032021-I.jpg,16900,E&L,,e&l,[],puntas sonda pesca electrica repuesto,punta sonda pesca electrico repuesto,16900.0,81
MCO817802438,Punta Logica Automotriz 6v 12v 24v Probador De Circuito,http://http2.mlstatic.com/D_681123-MCO48067623155_102021-I.jpg,35000,Tonic,,tonic,[],punta logica automotriz 6v 12v 24v probador circuito,punta logico automotriz 6v 12v 24v probador circuito,35000.0,81
MCO2514900632,Llave Para Tensor Metálico Cerca Eléctrica Grande Y Pequeño,http://http2.mlstatic.com/D_741822-MCO31066842519_062019-I.jpg,9000,Luxury,7707314156920,luxury,['7707314156920'],llave tensor metálico cerca eléctrica grande pequeño,llave tensor metálico cerca eléctrico grande pequeño,9000.0,81
MCO846345505,Alambre Para Resistencias Calibre 28  0.35mm Ferroniquel,http://http2.mlstatic.com/D_610102-MCO73968731669_012024-I.jpg,35000,RL,,rl,[],alambre resistencias calibre 28 0 35mm ferroniquel,alambre resistencia calibre 28 0 35 mm ferroniquel,35000.0,81
MCO2681005696,Interruptor Sencillo Conmutable Acero Inoxidable Switch Lujo,http://http2.mlstatic.com/D_815127-MCO44909434061_022021-I.jpg,11500,Unitec,,unitec,[],interruptor sencillo conmutable acero inoxidable switch lujo,interruptor sencillo conmutable acero inoxidable switch lujo,11500.0,81
