eps,min_samples,silhouette_score,davies_bouldin_score,noise_ratio
0.1,2,0.9960626295749591,0.021976091336046253,0.919
0.1,3,0.9922851687040124,0.02429398376639366,0.981
0.2,2,0.8214981718382023,0.26393477648534786,0.876
0.2,3,0.7267967938411727,0.36745398535205687,0.952
0.2,5,0.5007529493950347,0.705625597286063,0.99
0.5,2,0.4614827119289616,0.7695280456143428,0.608
0.5,3,0.43211669416653564,0.8784903030776819,0.7
0.5,5,0.39371658892978434,0.9718653193020184,0.792
0.5,10,0.37086294010340876,1.1568269925063137,0.883
0.8,2,0.2193083433642023,1.1796145043035764,0.419
0.8,10,0.19655912844277662,1.4074852978319643,0.627
0.8,3,0.19175506745504708,1.3190351011481538,0.487
0.8,5,0.18505740914585173,1.4166080477489837,0.577
1.0,2,0.03296686319453125,1.4488464120205224,0.092
0.1,5,,,1.0
0.1,10,,,1.0
0.2,10,,,1.0
1.0,3,,,0.1
1.0,5,,,0.117
1.0,10,,,0.162
